actor_name,actor_tmdb_id,actor_sexuality,confidence_sexuality,reasoning_sexuality
Edward James Olmos,587,Unknown,low,"Edward James Olmos has not publicly disclosed his sexuality, and there is no clear information regarding his sexual orientation."
Carla Medina,1938082,Unknown,low,"There is no publicly available information regarding Carla Medina's sexuality, and she has not made any explicit statements about it."
Dyana Ortelli,104382,Unknown,low,"There is no publicly available information regarding Dyana Ortelli's sexuality, and she has not made any statements or disclosures about it."
Luis Valdez,82219,Unknown,low,"Luis Valdez has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Blanca Araceli,1830409,Unknown,low,"There is no publicly available information regarding Blanca Araceli's sexuality, and she has not made any statements about it."
Salvador Reyes,1496949,Unknown,low,"There is no publicly available information regarding Salvador Reyes' sexuality, and he has not made any statements about it."
Vincent Cassel,1925,Straight,high,"Vincent Cassel has been publicly known to be in relationships with women, including his marriage to actress Monica Bellucci, and has not publicly identified as anything other than straight."
Hubert Koundé,5418,Unknown,low,"There is no publicly available information regarding Hubert Koundé's sexuality, and he has not made any explicit statements about it."
Saïd Taghmaoui,5419,Unknown,low,"Saïd Taghmaoui has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Abdel Ahmed Ghili,5420,Unknown,low,"There is no publicly available information regarding Abdel Ahmed Ghili's sexuality, and he has not made any statements about it."
Solo,5422,Unknown,low,"There is no publicly available information regarding Solo's sexuality, and they have not made any explicit statements on the matter."
Joseph Momo,5423,Unknown,low,"There is no publicly available information regarding Joseph Momo's sexuality, and he has not made any statements or disclosures about it."
Héloïse Rauth,5424,Unknown,low,"There is no publicly available information regarding Héloïse Rauth's sexuality, and she has not made any explicit statements about it."
Rywka Wajsbrot,1347614,Unknown,low,"There is no publicly available information regarding Rywka Wajsbrot's sexuality, and she has not made any statements on the topic."
Olga Abrego,1347615,Unknown,low,"There is no publicly available information regarding Olga Abrego's sexuality, and she has not made any statements about it."
Laurent Labasse,579488,Unknown,low,"There is no publicly available information regarding Laurent Labasse's sexuality, and he has not made any explicit statements about it."
Choukri Gabteni,64546,Unknown,low,"There is no publicly available information regarding Choukri Gabteni's sexuality, and he has not made any explicit statements on the matter."
Nabil Ben Mhamed,2623427,Unknown,low,"There is no publicly available information regarding Nabil Ben Mhamed's sexuality, and he has not made any explicit statements on the topic."
Benoît Magimel,5442,Straight,high,Benoît Magimel has been in public relationships with women and has not publicly identified as anything other than straight.
Médard Niang,2623429,Unknown,low,"There is no publicly available information regarding Médard Niang's sexuality, and he has not made any explicit statements about it."
Arash Mansour,2623400,Unknown,low,"There is no publicly available information regarding Arash Mansour's sexuality, and he has not made any explicit statements about it."
Abdel-Moulah Boujdouni,2623430,Unknown,low,"There is no publicly available information regarding Abdel-Moulah Boujdouni's sexuality, and he has not disclosed any details about his sexual orientation."
Mathilde Vitry,961888,Unknown,low,"There is limited public information regarding Mathilde Vitry's sexuality, and she has not made any explicit statements about it."
Christian Moro,572508,Unknown,low,"There is no publicly available information regarding Christian Moro's sexuality, and he has not made any statements about it."
Édouard Montoute,5441,Unknown,low,"There is no publicly available information regarding Édouard Montoute's sexuality, and he has not made any explicit statements on the subject."
JiBi,2399927,Unknown,low,"There is no publicly available information regarding JiBi's sexuality, and they have not made any statements or disclosures about it."
Emily Blunt,5081,Straight,high,"Emily Blunt is married to actor John Krasinski, and there is no public information indicating she identifies as anything other than straight."
Matt Damon,1892,Straight,high,"Matt Damon is married to a woman, Luciana Barroso, and has not publicly identified as anything other than straight."
Florence Pugh,1373737,Unknown,low,"Florence Pugh has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with men, she has not explicitly identified her sexuality or discussed it publicly."
Josh Hartnett,2299,Straight,high,Josh Hartnett has been in public relationships with women and has not publicly identified as anything other than straight.
Casey Affleck,1893,Straight,high,"Casey Affleck has been in public relationships with women and was previously married to actress Summer Phoenix, which aligns with the classification of 'Straight'."
Rami Malek,17838,Unknown,low,"Rami Malek has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Kenneth Branagh,11181,Straight,high,"Kenneth Branagh has been married to women, including actress Emma Thompson and director Lindsay Brunnock, and has not publicly identified as anything other than straight."
Benny Safdie,227564,Straight,high,"Benny Safdie is married to a woman, which indicates a heterosexual relationship. He has not publicly disclosed any information that suggests otherwise."
Jason Clarke,76512,Straight,high,"Jason Clarke is known to be married to an opposite-sex partner, and there is no public information indicating he identifies as anything other than straight."
Dylan Arnold,1039523,Unknown,low,"Dylan Arnold has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Tom Conti,71010,Straight,high,"Tom Conti is known to be married to an opposite-sex partner, and there is no public information indicating he has identified as anything other than straight."
James D'Arcy,19655,Straight,high,"James D'Arcy is known to be married to a woman, which aligns with the criteria for identifying as Straight."
David Dastmalchian,83854,Straight,high,David Dastmalchian is married to a woman and has not publicly identified as anything other than straight.
Dane DeHaan,122889,Straight,high,"Dane DeHaan is married to actress Anna Wood, and there is no public information indicating he identifies as anything other than straight."
Alden Ehrenreich,71375,Straight,high,Alden Ehrenreich has been publicly linked to opposite-sex relationships and has not disclosed any information suggesting otherwise.
Tony Goldwyn,3417,Straight,high,"Tony Goldwyn is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Jefferson Hall,109322,Unknown,low,"Jefferson Hall has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
David Krumholtz,38582,Straight,high,David Krumholtz is married to an opposite-sex partner and has not publicly identified as anything other than straight.
Ralph Fiennes,5469,Straight,high,Ralph Fiennes has been in public relationships with women and has not publicly identified as anything other than straight.
F. Murray Abraham,1164,Straight,high,"F. Murray Abraham has been married to a woman, and there is no public information indicating he has identified as anything other than straight."
Mathieu Amalric,8789,Unknown,low,"Mathieu Amalric has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Adrien Brody,3490,Straight,high,Adrien Brody has been publicly linked to women in relationships and has not disclosed any same-sex relationships or identified as anything other than straight.
Willem Dafoe,5293,Straight,high,"Willem Dafoe has been in a long-term relationship with actress Giada Colagrande, and there is no public information indicating he identifies as anything other than straight."
Jeff Goldblum,4785,Straight,high,Jeff Goldblum has been married to women and has not publicly identified as anything other than straight.
Jude Law,9642,Straight,high,Jude Law has been in several public relationships with women and has not publicly identified as anything other than straight.
Bill Murray,1532,Straight,high,Bill Murray has been married to women and has not publicly identified as anything other than straight.
Edward Norton,819,Straight,high,"Edward Norton has been publicly known to be in relationships with women and is currently married to a woman, which aligns with the classification of 'Straight'."
Saoirse Ronan,36592,Unknown,low,"Saoirse Ronan has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Jason Schwartzman,17881,Straight,high,"Jason Schwartzman is married to an opposite-sex partner, and there is no public information indicating he identifies as anything other than straight."
Léa Seydoux,121529,Unknown,low,"Léa Seydoux has not publicly disclosed her sexuality, and while she has been linked to both men and women in the past, she has not explicitly identified with any specific label."
Tilda Swinton,3063,Unknown,low,"Tilda Swinton has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with both men and women, she has not explicitly identified with a specific label."
Tom Wilkinson,207,Straight,high,"Tom Wilkinson is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Owen Wilson,887,Straight,high,Owen Wilson has been in public relationships with women and has not publicly identified as anything other than straight.
Tony Revolori,1291350,Unknown,low,"Tony Revolori has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Larry Pine,19511,Unknown,low,"There is no publicly available information regarding Larry Pine's sexuality, and he has not made any explicit statements about it."
Giselda Volodi,76340,Unknown,low,"There is no publicly available information regarding Giselda Volodi's sexuality, and she has not made any statements on the topic."
Florian Lukas,4795,Unknown,low,"Florian Lukas has not publicly disclosed his sexuality, and there is limited information available regarding his personal relationships."
Jonah Hill,21007,Straight,high,Jonah Hill has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Margot Robbie,234352,Straight,high,"Margot Robbie is married to Tom Ackerley, which indicates her sexuality as Straight based on the guidelines provided."
Matthew McConaughey,10297,Straight,high,"Matthew McConaughey is married to a woman, Camila Alves, and has not publicly identified as anything other than straight."
Kyle Chandler,3497,Straight,high,"Kyle Chandler is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Rob Reiner,3026,Straight,high,Rob Reiner has been married to women and has not publicly identified as anything other than straight.
Jon Bernthal,19498,Straight,high,"Jon Bernthal is married to a woman, Erin Angle, and has not publicly identified as anything other than straight."
Jon Favreau,15277,Straight,high,"Jon Favreau is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Jean Dujardin,56024,Straight,high,"Jean Dujardin is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Joanna Lumley,34901,Straight,high,Joanna Lumley has been in a long-term relationship with a man and has not publicly identified as anything other than straight.
Christine Ebersole,4003,Straight,high,Christine Ebersole has been married to a man and has not publicly identified as anything other than straight.
Shea Whigham,74242,Straight,high,Shea Whigham is married to a woman and has not publicly identified as anything other than straight.
Katarina Čas,549981,Unknown,low,"There is no publicly available information regarding Katarina Čas's sexuality, and she has not made any explicit statements about it."
P.J. Byrne,1211946,Unknown,low,"P.J. Byrne has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Kenneth Choi,41561,Straight,high,Kenneth Choi is married to a woman and has not publicly disclosed any information that suggests otherwise.
Brian Sacca,1332746,Straight,high,"Brian Sacca is known to be married to a woman, which indicates a heterosexual relationship. There is no public information suggesting otherwise."
Henry Zebrowski,1332747,Straight,high,"Henry Zebrowski is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Ethan Suplee,824,Straight,high,Ethan Suplee is married to a woman and has not publicly identified as anything other than straight.
Barry Rothbart,1633868,Unknown,low,"Barry Rothbart has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Roman Griffin Davis,2054851,Unknown,low,"Roman Griffin Davis has not publicly disclosed his sexuality, and there is no available information regarding his relationships that would indicate a specific category."
Thomasin McKenzie,1356758,Unknown,low,"Thomasin McKenzie has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Taika Waititi,55934,Straight,high,"Taika Waititi has been publicly known to be in relationships with women and was previously married to a woman, which aligns with the classification of 'Straight'."
Sam Rockwell,6807,Straight,high,"Sam Rockwell is known to be in a long-term relationship with actress Leslie Bibb, and there is no public information indicating he identifies as anything other than straight."
Rebel Wilson,221581,Bisexual,high,"Rebel Wilson publicly came out as bisexual in June 2022, stating her attraction to both men and women."
Alfie Allen,71586,Straight,high,Alfie Allen has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Stephen Merchant,39189,Straight,high,Stephen Merchant has been in a public relationship with a woman and has not publicly identified as anything other than straight.
Archie Yates,2089892,Unknown,low,"Archie Yates has not publicly disclosed his sexuality, and there is no available information regarding his relationships."
Luke Brandon Field,59096,Unknown,low,"There is no publicly available information regarding Luke Brandon Field's sexuality, and he has not made any explicit statements about it."
Sam Haygarth,2550505,Unknown,low,"There is no publicly available information regarding Sam Haygarth's sexuality, and he has not made any statements or disclosures about it."
Stanislav Callas,2130205,Unknown,low,"There is no publicly available information regarding Stanislav Callas's sexuality, and he has not made any statements on the matter."
Joe Weintraub,1759586,Unknown,low,"There is no publicly available information regarding Joe Weintraub's sexuality, and he has not made any statements on the subject."
Brian Caspe,25730,Unknown,low,"There is no publicly available information regarding Brian Caspe's sexuality, and he has not made any explicit statements about it."
Gabriel Andrews,1302199,Unknown,low,"There is no publicly available information regarding Gabriel Andrews' sexuality, and he has not made any explicit statements on the topic."
Billy Rayner,2550504,Unknown,low,"There is no publicly available information regarding Billy Rayner's sexuality, and he has not made any statements about it."
Christian Howlings,2550503,Unknown,low,"There is no publicly available information regarding Christian Howlings' sexuality, and he has not made any statements or disclosures about it."
Gilby Griffin Davis,2630081,Unknown,low,"There is no publicly available information regarding Gilby Griffin Davis's sexuality, and he has not made any statements about it."
Hardy Griffin Davis,2550502,Unknown,low,"There is no publicly available information regarding Hardy Griffin Davis's sexuality, and he has not made any statements or disclosures about it."
Curtis Matthew,25732,Unknown,low,"There is no publicly available information regarding Curtis Matthew's sexuality, and he has not made any statements on the topic."
Lucy Liu,140,Unknown,low,"Lucy Liu has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with both men and women, she has not explicitly identified with a specific label."
Vivica A. Fox,2535,Straight,high,Vivica A. Fox has been in public relationships with men and has not publicly identified as anything other than straight.
Daryl Hannah,589,Straight,high,Daryl Hannah has been in public relationships with men and has not publicly identified as anything other than straight.
David Carradine,141,Straight,high,David Carradine was married multiple times to women and did not publicly disclose any same-sex relationships.
Michael Madsen,147,Straight,high,Michael Madsen has been married to women and has not publicly identified as anything other than straight.
Chiaki Kuriyama,2538,Unknown,low,"Chiaki Kuriyama has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would indicate a specific category."
Sonny Chiba,2537,Straight,high,Sonny Chiba was married to a woman and has not publicly disclosed any information suggesting otherwise.
Gordon Liu Chia-Hui,240171,Unknown,low,"There is no publicly available information regarding Gordon Liu Chia-Hui's sexuality, and he has not made any explicit statements about it."
Michael Parks,2536,Unknown,low,"Michael Parks has not publicly disclosed his sexuality, and there is limited information available regarding his personal relationships."
Michael Bowen,2234,Unknown,low,"There is no publicly available information regarding Michael Bowen's sexuality, and he has not made any explicit statements about it."
Jun Kunimura,2541,Unknown,low,"There is no publicly available information regarding Jun Kunimura's sexuality, and he has not made any explicit statements about it."
Kenji Ohba,138435,Unknown,low,"There is no publicly available information regarding Kenji Ohba's sexuality, and he has not made any explicit statements about it."
Yuki Kazamatsuri,545394,Unknown,low,"There is no publicly available information regarding Yuki Kazamatsuri's sexuality, and they have not made any statements or disclosures about it."
James Parks,87312,Straight,high,"James Parks is known to be married to a woman, and there is no public information indicating any same-sex relationships or a different sexual orientation."
Sakichi Sato,58616,Unknown,low,"There is no publicly available information regarding Sakichi Sato's sexuality, and he has not made any statements about it."
Jonathan Loughran,58477,Unknown,low,"There is no publicly available information regarding Jonathan Loughran's sexuality, and he has not made any explicit statements about it."
Yoshiyuki Morishita,79458,Unknown,low,"There is no publicly available information regarding Yoshiyuki Morishita's sexuality, and he has not made any explicit statements about it."
Tetsuro Shimaguchi,1594799,Unknown,low,"There is no publicly available information regarding Tetsuro Shimaguchi's sexuality, and he has not made any explicit statements on the matter."
Amy Poehler,56322,Straight,high,"Amy Poehler has been publicly known to be in relationships with men, including her marriage to Will Arnett, and has not publicly identified as anything other than straight."
Phyllis Smith,169200,Unknown,low,"Phyllis Smith has not publicly disclosed her sexuality, and there is limited information available regarding her personal relationships."
Richard Kind,21125,Straight,high,"Richard Kind is married to a woman, which aligns with the definition of being straight. He has not publicly identified as anything other than straight."
Bill Hader,19278,Straight,high,"Bill Hader has been publicly known to be in relationships with women and was previously married to a woman, which aligns with the classification of 'Straight'."
Lewis Black,59258,Straight,high,Lewis Black has been publicly known to be in relationships with women and has not publicly identified as anything other than straight.
Mindy Kaling,125167,Unknown,medium,"Mindy Kaling has not publicly disclosed her sexuality in a clear manner. While she has been in relationships with men, she has not explicitly identified her sexual orientation."
Kaitlyn Dias,1371894,Unknown,low,"Kaitlyn Dias has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Diane Lane,2882,Straight,high,Diane Lane has been publicly known to be in relationships with men and was previously married to actor Josh Brolin. There is no public disclosure of her identifying as anything other than straight.
Kyle MacLachlan,6677,Straight,high,"Kyle MacLachlan is married to a woman, and there is no public information indicating he has identified as anything other than straight."
Paula Poundstone,196502,Unknown,medium,"Paula Poundstone has not publicly disclosed her sexuality in a clear manner. While she has discussed her personal life, there is no definitive statement regarding her sexual orientation."
Bobby Moynihan,452205,Straight,high,"Bobby Moynihan is married to a woman, and there is no public information indicating he identifies as anything other than straight."
Paula Pell,1226294,Unknown,low,"Paula Pell has not publicly disclosed her sexuality, and there is limited information available regarding her relationships."
Dave Goelz,64181,Unknown,low,"There is no publicly available information regarding Dave Goelz's sexuality, and he has not made any explicit statements about it."
Frank Oz,7908,Straight,high,"Frank Oz has been married to a woman, which indicates a heterosexual relationship. There is no public information suggesting he identifies as anything other than straight."
Josh Cooley,84496,Unknown,low,"There is no publicly available information regarding Josh Cooley's sexuality, and he has not made any explicit statements about it."
Flea,1237,Unknown,low,"Flea has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
John Ratzenberger,7907,Straight,high,John Ratzenberger has been married to a woman and has not publicly identified as anything other than straight.
Carlos Alazraqui,59784,Straight,high,Carlos Alazraqui is known to be married to a woman and has not publicly disclosed any information that suggests otherwise.
Peter Sagal,1531657,Straight,high,"Peter Sagal is known to be married to a woman, and there is no public information indicating he has identified as anything other than straight."
Rashida Jones,80591,Straight,high,Rashida Jones has been in a long-term relationship with a man and has not publicly identified as anything other than straight.
Caleb McLaughlin,1474123,Unknown,low,"Caleb McLaughlin has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Gabrielle Union,17773,Straight,high,"Gabrielle Union is married to Dwyane Wade, and she has not publicly identified as anything other than straight."
Stephen Curry,1718307,Straight,high,"Stephen Curry is married to Ayesha Curry, and there is no public information indicating he has identified as anything other than straight."
Aaron Pierre,1763709,Unknown,low,"Aaron Pierre has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Nicola Coughlan,1267240,Unknown,low,"Nicola Coughlan has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
David Harbour,35029,Straight,high,"David Harbour is married to Lily Allen, which indicates a heterosexual relationship. He has not publicly identified as anything other than straight."
Nick Kroll,208519,Straight,high,"Nick Kroll is married to an opposite-sex partner, which aligns with the criteria for identifying as Straight."
Jenifer Lewis,15899,Unknown,low,"Jenifer Lewis has not publicly disclosed her sexuality in a clear manner, and there is limited information available regarding her relationships."
Patton Oswalt,10872,Straight,high,"Patton Oswalt is known to be married to a woman, and he has not publicly identified as anything other than straight."
Jelly Roll,2974019,Straight,high,Jelly Roll is known to be married to an opposite-sex partner and has not publicly disclosed any information that suggests otherwise.
Jennifer Hudson,15565,Straight,high,Jennifer Hudson has been in a long-term relationship with a man and has not publicly identified as anything other than straight.
Sherry Cola,2088734,Unknown,low,"Sherry Cola has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Eduardo Franco,1653235,Unknown,low,"Eduardo Franco has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Andrew Santino,1181310,Straight,high,Andrew Santino is known to be in a public relationship with a woman and has not publicly identified as anything other than straight.
Bobby Lee,198149,Straight,high,Bobby Lee has been in a public relationship with a woman and has not publicly identified as anything other than straight.
Wayne Knight,4201,Straight,high,"Wayne Knight is known to be married to a woman, which aligns with the criteria for identifying as Straight."
Ayesha Curry,2122137,Straight,high,"Ayesha Curry is married to NBA player Stephen Curry, and she has not publicly identified as anything other than straight."
Van Van,5303617,Unknown,low,"There is no publicly available information regarding Van Van's sexuality, and they have not made any statements about it."
Rayaan Kamal Khan,5127007,Unknown,low,"There is no publicly available information regarding Rayaan Kamal Khan's sexuality, and he has not made any explicit statements about it."
Adam Pally,115974,Straight,high,Adam Pally is married to an opposite-sex partner and has not publicly disclosed any other sexual orientation.
Dakota Fanning,501,Unknown,low,"Dakota Fanning has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Teri Hatcher,10742,Straight,high,Teri Hatcher has been publicly known to be in relationships with men and has not publicly identified as anything other than straight.
Jennifer Saunders,12094,Straight,high,"Jennifer Saunders is known to be married to a man, and there is no public information indicating she has identified as anything other than straight."
Dawn French,5539,Straight,high,"Dawn French has been married to a man, and there is no public disclosure of her being in a same-sex relationship."
Keith David,65827,Straight,high,"Keith David is known to be married to a woman, which aligns with the classification of 'Straight'. There is no public information indicating otherwise."
John Hodgman,77344,Straight,high,John Hodgman is married to a woman and has not publicly identified as anything other than straight.
Robert Bailey Jr.,55426,Unknown,low,"There is no publicly available information regarding Robert Bailey Jr.'s sexuality, and he has not made any explicit statements on the matter."
Ian McShane,6972,Straight,high,Ian McShane has been in a long-term relationship with a woman and has not publicly identified as anything other than straight.
Aankha Neal,2011351,Unknown,low,"There is no publicly available information regarding Aankha Neal's sexuality, and they have not made any statements on the topic."
George Selick,2011353,Unknown,low,"There is no publicly available information regarding George Selick's sexuality, and he has not made any statements on the topic."
Hannah Kaiser,2011354,Unknown,low,"There is no publicly available information regarding Hannah Kaiser's sexuality, and she has not made any explicit statements about it."
Harry Selick,2011355,Unknown,low,"There is no publicly available information regarding Harry Selick's sexuality, and he has not made any explicit statements on the matter."
Marina Budovsky,2011356,Unknown,low,"There is no publicly available information regarding Marina Budovsky's sexuality, and she has not made any explicit statements about it."
Emerson Tenney,2011359,Unknown,low,"There is no publicly available information regarding Emerson Tenney's sexuality, and they have not made any explicit statements on the matter."
Jerome Ranft,7960,Unknown,low,"There is no publicly available information regarding Jerome Ranft's sexuality, and he has not made any explicit statements about it."
Christopher Murrie,983740,Unknown,low,"There is no publicly available information regarding Christopher Murrie's sexuality, and he has not made any statements about it."
Jeremy Ryder,2011360,Unknown,low,"There is limited public information available about Jeremy Ryder's sexuality, and he has not made any explicit statements regarding it."
Carolyn Crawford,2011361,Unknown,low,"There is limited public information regarding Carolyn Crawford's sexuality, and she has not made any explicit statements about it."
Yona Prost,1485172,Unknown,low,"There is no publicly available information regarding Yona Prost's sexuality, and they have not made any statements or disclosures on the topic."
John Linnell,93463,Unknown,low,"There is no publicly available information regarding John Linnell's sexuality, and he has not made any explicit statements on the topic."
Mason Thames,2803710,Unknown,low,"Mason Thames has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Nico Parker,2064124,Unknown,low,"Nico Parker has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Gerard Butler,17276,Straight,high,Gerard Butler has been publicly linked to several women and has not disclosed any same-sex relationships or identified as anything other than straight.
Nick Frost,11109,Straight,high,"Nick Frost is known to be married to a woman, which aligns with the classification of 'Straight'. There is no public information indicating otherwise."
Gabriel Howell,3792786,Unknown,low,"There is limited public information regarding Gabriel Howell's sexuality, and he has not made any explicit statements about it."
Julian Dennison,1139349,Unknown,low,"Julian Dennison has not publicly disclosed his sexuality, and there is no available information regarding his relationships that would indicate a specific category."
Bronwyn James,1587577,Unknown,low,"There is no publicly available information regarding Bronwyn James' sexuality, and she has not made any explicit statements about it."
Harry Trevaldwyn,2104260,Unknown,low,"There is limited public information regarding Harry Trevaldwyn's sexuality, and he has not made any explicit statements about it."
Murray McArthur,1216581,Unknown,low,"There is no publicly available information regarding Murray McArthur's sexuality, and he has not made any explicit statements about it."
Peter Serafinowicz,11115,Straight,high,Peter Serafinowicz is married to an opposite-sex partner and has not publicly identified as anything other than straight.
Naomi Wirthner,3399457,Unknown,low,"There is no publicly available information regarding Naomi Wirthner's sexuality, and she has not made any explicit statements about it."
Ruth Codd,3295331,Unknown,low,"Ruth Codd has not publicly disclosed their sexuality, and there is limited information available regarding their relationships."
Andrea Ware,1987916,Unknown,low,"There is no publicly available information regarding Andrea Ware's sexuality, and she has not made any explicit statements about it."
Anna Leong Brophy,1593227,Unknown,low,"There is no publicly available information regarding Anna Leong Brophy's sexuality, and she has not made any explicit statements about it."
Marcus Onilude,1919372,Unknown,low,"There is no publicly available information regarding Marcus Onilude's sexuality, and he has not made any statements on the topic."
Pete Selwood,5505971,Unknown,low,"There is limited public information regarding Pete Selwood's sexuality, and he has not made any explicit statements about it."
Daniel-John Williams,2774982,Unknown,low,"There is no publicly available information regarding Daniel-John Williams' sexuality, and he has not made any explicit statements on the matter."
Kate Kennedy,2486590,Unknown,low,"There is limited public information regarding Kate Kennedy's sexuality, and she has not made any explicit statements about it."
Selina Jones,5505972,Unknown,low,"There is no publicly available information regarding Selina Jones' sexuality, and she has not made any explicit statements about it."
Nick Cornwall,1516140,Unknown,low,"There is no publicly available information regarding Nick Cornwall's sexuality, and he has not made any explicit statements on the subject."
Daniel Craig,8784,Straight,high,"Daniel Craig is married to Rachel Weisz, and there is no public information indicating he has identified as anything other than straight."
Ana de Armas,224513,Straight,high,Ana de Armas has been publicly linked to men in relationships and has not disclosed any information suggesting she identifies as anything other than straight.
Jamie Lee Curtis,8944,Straight,high,"Jamie Lee Curtis is married to Christopher Guest, a man, and has not publicly identified as anything other than straight."
Michael Shannon,335,Straight,high,"Michael Shannon is married to a woman, and there is no public information indicating he identifies as anything other than straight."
Don Johnson,25129,Straight,high,Don Johnson has been married to women and has not publicly identified as anything other than straight.
Toni Collette,3051,Straight,high,"Toni Collette is married to a man, and there is no public information indicating she identifies as anything other than straight."
LaKeith Stanfield,1200864,Unknown,low,"LaKeith Stanfield has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
Christopher Plummer,290,Straight,high,"Christopher Plummer was married to actress Elaine Taylor from 1970 until his death in 2021, and he has not publicly identified as anything other than straight."
Katherine Langford,1636738,Unknown,low,"Katherine Langford has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Jaeden Martell,1274508,Unknown,low,"Jaeden Martell has not publicly disclosed his sexuality, and there is no clear information regarding his relationships."
Riki Lindhome,453,Unknown,low,"Riki Lindhome has not publicly disclosed her sexuality, and there is no clear information regarding her relationships that would allow for a definitive categorization."
Edi Patterson,205213,Unknown,low,"Edi Patterson has not publicly disclosed their sexuality, and there is no clear information regarding their relationships."
K Callan,41729,Unknown,low,"K Callan has not publicly disclosed her sexuality, and there is no clear information regarding her relationships."
Noah Segan,48312,Unknown,low,"Noah Segan has not publicly disclosed his sexuality, and there is limited information available regarding his relationships."
M. Emmet Walsh,588,Unknown,low,"M. Emmet Walsh has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would indicate a specific category."
Marlene Forte,146004,Unknown,low,"There is no publicly available information regarding Marlene Forte's sexuality, and she has not made any explicit statements about it."
Raúl Castillo,557579,Unknown,low,"Raúl Castillo has not publicly disclosed his sexuality, and there is no clear information regarding his relationships that would allow for a definitive categorization."
Shyrley Rodriguez,1709452,Unknown,low,"There is limited public information regarding Shyrley Rodriguez's sexuality, and she has not made any explicit statements about it."
